unique_id,title,cluster
ID_55,enterprise solutions partnerships greetings would like applaud efforts contributions opensource community suggestions would add lot value project featuring project honeynet org integration remnux linux distribution improving e learning courses join sans training center program giac grem certification example contacting lenny zeltser founder remnux faculty fellow sans comes giac grem course creating affiliate clear objectives pricing plan opensecurity finally would like know core team main contributors project regards,63
ID_56,feature download androidmanifest api requesting new feature enhancement explain would like added importance feature request related problem please describe currently possible download android manifest way using api describe solution would like would useful able download android manifest via api addition source code would suggest using endpoint entering new value type parameter e g manifest looking result folder,67
ID_57,feature support android app bundle format requesting new feature enhancement explain would like added importance feature request related problem please describe august new apps required publish android app bundle google play android app bundle new format refer,67
ID_58,feature enterprise support detect deprecated methods libraries risk score requesting new feature enhancement explain would like added importance feature request related problem please describe identify deprecated methods functions libraries used app source code investigate see correlated risk score allow end users ability define custom methods functions libraries want detect document custom features additional context enterprise priority feature request,348
ID_59,feature setup sh run ubuntu report venv error requesting new feature enhancement explain would like added importance feature request related problem please describe clear concise description problem run setup sh error info install using python virtualenv error command mobile security framework mobsf venv bin python ensurepip upgrade default pip returned non zero exit status error failed create virtualenv please install mobsf requirements mentioned documentation solve change setup sh python venv venv virtualenv p usr bin python site packages venv,113
ID_60,feature fix typos discovered codespell ,77
ID_63,enhancement make android ios permission data structure consistent requesting new feature enhancement explain would like added importance feature request related problem please describe currently android permissions named dict ios permissions list make consistency similar data structure across android ios describe solution would like make ios permissions dict describe alternatives considered n additional context add context screenshots feature request,67
ID_64,feature ios hardcoded secrets info plist requesting new feature enhancement explain would like added importance feature request related problem please describe add hardcoded secret field filter plist file well known security flaw would add details ios report help automating describe solution would like already implemented personal use ready pr find branch,67
ID_65,enhancement add arm docker images requesting new feature enhancement explain would like added importance feature request related problem please describe docker images x describe solution would like add arm docker images mobsf,67
ID_67,feature better scoring risk metrics requesting new feature enhancement explain would like added importance feature request related problem please describe current scoring mechanism vague misleading implement proper scoring mechanism risk mechanism remove security score average cvss score misleading misinterpreted consider factors like code analysis manifest analysis virus total results malicious domains http traffic trackers cvss etc derive high low medium risk meter security score grade,48
ID_68,feature split apk support suggestion supporting files split apk newer application broken multiple apk files legacy apk tools install specific split apk installers required google play store attempting install part split apk produce error system package manager file compressed file containing list files application icon main application contains libraries supported arch may named differently contains ui elements resources supported graphics options currently trying use file mobsf even renamed supported,294
ID_69,feature browse files feature request related problem please describe would like see source code files besides java smali e html download binary files images shared objects describe solution would like allow browser access sorts files,67
ID_70,feature support independent dynamic analysis without static analysis requesting new feature enhancement explain would like added importance currently mobsf requires static analysis perform dynamic analysis support dynamic analysis apk without static analysis support dynamic analysis apk already present device,67
ID_71,feature python issue already installed python file generate error python installed please change python path window apps location checkup python file windows app,331
ID_72,feature test ,326
ID_73,feature maximum size apk file uploaded maximum size apk file uploaded nowadays apk often several hundred megabytes test apk megabytes always fails upload,294
ID_74,feature ability provide false positive list remove mark report use mobsf analyze android ios applications currently facing lot false positive issues true positive issues end report score content make less sense analyzed false positives expect way determine automatically false positive provided input list information report able mark false positive hide issues,335
ID_75,ipa analysis error attributeerror str object attribute get environment explanation issue upload ipa mobsf expect report get immediate crash due following bug steps reproduce issue log file see stack trace contents debug log identical,215
ID_76,wrong issue requesting new feature enhancement explain would like added importance describe solution would like recently pr owasp mstg detecting backup encrypted identify backup encrypted check key named isencrypted file manifest plist located root backup directory could used show warning backup encrypted shows good option encrypted additional context owasp pr,67
ID_77,failed get json response dynamic analysis first thanks alot usefull excellent framework everything working well small issue dynamic analysis want get json response dynamic analysis using rest api mentioned docs however typescript error rises time attached python code error logs environment explanation issue steps reproduce issue log file,215
ID_78,feature split settings py requesting new feature enhancement explain would like added importance feature request related problem please describe hosts required mobsf django config local config time mobsf version updated need merge local settings e g db config updated allows customizing values host django settings describe solution would like split file ideally loaded mobsf describe alternatives considered manual merge additional context django wiki splitting settings,67
ID_79,ux sticky horizontal scrollbar code xml views feature request related problem please describe lines exceed viewport width inside source smali code views manifest xml view horizontal scrollbar shown problem bottom view forces user scroll way adjust horizontal scroll interrupts workflow distracting guess width needed view specific part line describe solution would like horizontal scrollbar might set stick page bottom would outside viewport otherwise,3
ID_80,large file size causing issue static analysis environment explanation issue see steps reproduce issue reproduced pwd apk attached slack thread log file,307
ID_81,feature add quark engine one static analyzers requesting new feature enhancement explain would like added importance feature request related problem please describe think would nice provide high risk activities detected malware analysis section describe solution would like propose use overview high risk activities experiences developing feature users click one activity corresponding smali source codes highlighted manual verification boost speed malware analyst describe alternatives considered far come alternatives additional context belows features reports released recently,348
ID_82,android emulator feature hi modified file starts avd automatically also using anaconda environment additional flags enable internet connection net issues avd,113
ID_83,httptools ui url hardcoded localhost environment explanation issue relevant code steps reproduce issue,215
ID_84,home views search func query recentscansdb url models declare environment explanation issue steps reproduce issue log file,307
ID_85,wrong ca certificate subject hash leads certificate ignored trust anchor environment explanation issue steps reproduce issue suggested fix emulate python something like note certificate installed two different names device emulator,307
ID_86,feature handle android source one level requesting new feature enhancement explain would like added importance feature request related problem please describe handle android source one level describe solution would like clear concise description want happen describe alternatives considered clear concise description alternative solutions features considered additional context add context screenshots feature request,67
ID_87,add section mobsf clearly indicates ssl pinning detection yes requesting new feature enhancement explain would like added importance describe solution would like static report clearly call app using ssl pinning add section mobsf clearly indicates ssl pinning detection yes additional context thank much help everyone mobsf,67
ID_88,mobsf web api fuzzer entrance latest version find mobsf web api fuzzer entry,339
ID_89,get mobile security framework v get mobile security framework v,175
ID_90,feature dynamically download frida binaries reduce repo size dynamically download frida binaries,67
ID_91,create non root docker image feature requesting new feature enhancement explain would like added importance good practise run docker image root would good improvement build image lower privilege user mobsf,67
ID_92,feature android api supported warning androguard core api specific resources requested api level larger maximum returning api level instead,294
ID_93,implement sarif format report export security collection tool problems load current json reports feature request related problem please describe want mobsf provide feature generate report sarif format instead custm json sarif standard supported oasis backed microsoft lot tools owasp describe solution would like way export reports sarif format instead json describe alternatives considered use current json reports due recent changes import features collection tool broken additional context sarif format export make easy load github github load format natively actions etc usefull tools,61
ID_94,mobsf labels custom android permissions unknown permissions dangerous noticed static analysis report mobsf treats custom permissions unknown permissions dangerous could alarming anyone looking report would suggest custom permissions label custom well unknown named unknown thank,67
ID_95,contributing integration library detection analysis mobsf hi approach final semester bachelor saarland university friend mine project semester assigned integrate android library detection anaylsis techniques popular mobile security analysis tool chosen mobsf framework integrating well static analysis routine mobsf like contributing open source wanted ask would interested pull request work finished greetings,175
ID_97,use multiple devices dynamic testing many people use sometimes execution dynamic tests slow error occur want extend function use multiple real mobile devices dynamic testing encountered problems using multiple devices dynamic testing adb always fails multiple devices running time subprocess calledprocesserror command adb ldyf tar cvf data local com scope myapplication tar data data com scope myapplication returned non zero exit status subprocess calledprocesserror command adb ldyf tar cvf data local com scope myapplication tar data data com scope myapplication returned non zero exit status use one device okay problem caused adb reasons,113
ID_98,lack ability view source browser cases upstream enlighterjs bug fixed ,122
