unique_id,title,cluster
ID_135,error window,471
ID_136,feature allow users use runserver,307
ID_137,feature show dynamic analysis window apk installation failure,412
ID_138,security insecure default bind,41
ID_139,reporting add scan date first page report,59
ID_140,feature zip source code analysis relax zip format,412
ID_141,feature add app compare method rest api,412
ID_142,feature integrate something similar pidcat see logs dynamic analysis,244
ID_143,feature indicate nsthirdpartyexceptionallowsinsecurehttploads allows insecure http loads indicated nsexceptionallowsinsecurehttploads,252
ID_144,feature redo mobsfy mobsf update,59
ID_145,feature koodous api integration vote upload,59
ID_146,feature reduce size docker image,90
ID_147,feature code qa based lgtm,59
ID_148,feature update search expressions used match android apis,215
ID_149,feature specify versions data sets used,264
ID_150,feature provide codes simplified classification issues,407
ID_151,feature fix pie false positive,223
ID_152,feature permission com google android c dm permission receive,260
ID_153,first time mobsfy failure,69
ID_154,feature continue analysis apkid failiure,244
ID_155,ios ats check bug ipa shared offline,121
ID_156,frida error dynamic analysis read property null,418
ID_157,dynamic analyzer first run error due absence certificate,418
ID_158,ip address disclosure issue,177
ID_159,ipa binary work jtool,368
ID_160,windows vm setup failing bug autostart code,364
ID_161,feature check iscleartexttrafficpermitted set true network security config file,181
ID_162,ats check missing exception domain level checks,121
ID_163,save html,66
ID_164,assets car parser,115
ID_165,feature properly handle multi part apk files apx,362
ID_166,kubernetes chart,372
ID_167,feature improve android string detection logic,365
ID_168,feature better handling info plist files ios source,412
ID_169,feature docker tag versioning,418
ID_170,feature better pdf reporting,59
ID_171,feature ios source support swift source code analysis,412
ID_172,feature ios ipa support url email extraction,412
ID_173,feature return zip type rest api,124
ID_174,use genymotion combination docker deployment,469
ID_175,feature make get app name search localizations xml app name found strings xml,255
ID_176,feature improve binary analysis regex,412
ID_177,feature add authentication method,412
ID_178,use android studio x emulator dynamic analyzer feature,412
ID_179,marking vulnerability false positive,137
ID_180,allow csv export findings feature,244
ID_181,feature mobile security api framework mobsf within misp project ioc indicator compromise,123
ID_182,feature scanning git repository,362
ID_183,feature support swift,412
ID_184,feature optimize directory structure downloaded zip files,362
ID_185,feature rest api mobsf,412
ID_186,feature disable global proxy dynamic analysis,412
ID_187,feature add check usescleartexttraffic,315
ID_188,reading code signing certificate error depreciated function used master branch,57
ID_189,integrate sonarqube,120
ID_190,need solve problem,397
ID_191,feature add button redownload apk mobsf,412
ID_192,feature sortable tables,123
ID_193,feature export application permissions xlsx,244
ID_194,feature dark mode,315
ID_195,oserror errno invalid argument dynamic analysis windows mobsf v,78
ID_196,feature want scan multiple apps,425
ID_197,need information mobsf performance improvement,185
ID_198,urls convert links lower case,453
ID_199,nonetype object support item assignment,1
ID_200,feature improve security scoring apps,412
ID_201,feature general report pdf page loads additional js file executed,59
ID_202,feature customizable report,59
ID_203,update available notification updating,282
ID_204,possible dynamic testing docker,418
ID_205,pie fpic binary detection seems outdated broken,128
ID_206,add documentation readme,447
ID_207,feature add jadx support,315
ID_208,signer certificate check apk verified using scheme version v v v v,250
ID_209,feature migrate virtualenv venv,418
ID_210,feature show time according system timezone setting,127
ID_211,bug malware analysis always good suspicious url apk,55
ID_212,apk source code download option,412
ID_213,feature support high android version dynamic analysis,412
ID_214,docker build linuxuprising ppa longer available,418
ID_215,windows waitress syntax incorrect launch,257
ID_216,play around error popped,448
ID_217,would good mobsf analyse socket traffic sniff data like http traffic,222
ID_218,update vm configuration documentation host network setup instructions,444
ID_219,getting corrupted pdf report mobsf rest api case zip souce code file,59
ID_220,get static files casued static url setting error,6
ID_221,mobsf unable perform static scanning ios ipa swift based application,412
ID_222,feature request ios static analysis runtime manipulation checks,412
ID_223,error api v report json,66
ID_224,feature request api call return list scans,407
ID_225,support detection hardcoded sensitive information oauth client secret,346
ID_226,feature request nsfileprotection ios,412
ID_227,exception resolving variable exp template general error html,80
ID_228,feature request,184
ID_229,recent scans scan time,425
ID_230,mapping key found rules,355
ID_231,cert parser fails inside docker,90
ID_232,play around error popped one many plist files json format,448
ID_233,recommended remove strings ios api response results,43
ID_234,api code coupling pdf report json high,59
ID_235,feature request detect firebase urls,315
ID_236,enhancement different static results,27
ID_237,headless mode android x ova,38
ID_238,false negative android x found elf built without stack protection,91
ID_239,error reported scanning package time,420
ID_240,plist analysis py line,269
ID_241,api cors issue,225
ID_242,field name api report response wrong,66
ID_243,dynamicanalyzer execute custom command fails,53
ID_244,regression move pywebproxy capfuzz,432
ID_245,enhancement support armeabi v armeabi v x,67
ID_246,java version error windows environment change version version,200
ID_247,mobsf finding directory traversal hard coded credentials issues intentionally vulnerable mobile application,189
ID_248,analyses missing switching min sdk,427
ID_249,permission com google android c dm permission receive unknown,260
ID_250,get icon function error,6
ID_251,upstream proxy variable used,243
ID_252,play around error popped sequence index range,448
ID_253,icon analysis get icon function attempting use adb linux,285
ID_254,api web interface,15
ID_255,add vt support windows binaries,310
ID_256,support android version,412
ID_257,signer certificate incorrect status,250
ID_258,dockerfile showing error icon fetching code,451
ID_259,possible bug enhancement needed mobsf certificate signing,57
ID_260,android static analysis test request,412
ID_261,https traffic going proxy,9
ID_262,static analysis rules android,412
ID_263,settings skip classes working windows,14
ID_264,pdf report scales screen resolution,59
ID_265,static analysis malware check false positive,113
ID_266,android x found elf built without stack protection question,91
ID_267,adding option dynamic analysis wired adb instead wifi adb,317
ID_268,application transport security ats check ios apps gives wrong results,121
ID_269,detect report android app allowed loaded plugin,317
ID_270,static regex needed,412
ID_271,detect vulnerable javascript libraries hybrid mobile apps,189
ID_272,syntax issue print,218
ID_273,config py used use home needs updated background,2
ID_274,enhancement delete option recent scan list,160
ID_275,cfr upgrade,490
ID_276,static analyzer rules android,412
ID_277,config py error,423
ID_278,export pdf,59
ID_279,class dump ios apps written swift,412
ID_280,check vm date,359
ID_281,ipa analyzer error,412
ID_283,safe browsing api mobsf,186
ID_284,windows app binary analysis error,412
ID_285,mobsfy uses bit adb,110
ID_286,using duplicate variables,114
ID_287,runserver win python,133
ID_288,fr integrate android unused permission flag yes permission table,260
ID_289,missing shebangs,187
ID_291,investigate see bug,423
ID_292,windows static appxbundle,131
ID_293,support diffing remove false positives report missed vulnerabilities,352
ID_294,feature request export details excel format,315
ID_295,unicode bugs fix,478
ID_296,auto check latest version,90
ID_297,error uploading source code nonetype object iterable,451
ID_298,false posivitives related code analysis,224
ID_299,error reading code signing certificate,57
ID_300,error reading code signing certificate c mobsf staticanalyzer views py line args settings java path java jar cp path certfile local variable certfile referenced assignment,57
ID_302,android n support,412
ID_303,replace adb adb android python module,317
ID_304,use github releases vm,144
ID_306,investigate hook,80
ID_307,python path spaces windows systems,164
ID_308,update libs possible,205
ID_309,error file format supported,451
ID_310,certficate unpinning,433
ID_311,suggestion active clipboard monitoring dynamic analysis,244
ID_312,import name filewrapper support django,161
ID_313,make mobsf kali compatible,70
ID_314,dynamic analysis restart vm reconnenct,224
ID_315,android list contents lib,91
ID_316,enc add graphs reports,186
ID_317,android pulling apps device,412
ID_318,mobsfy within scripts automation,376
ID_319,use home test,287
ID_320,static analyzer security scoring app,412
ID_321,adding apps via playstore links directly,157
ID_322,keeping mobsf date,78
ID_323,dynamic analyzer hooks,331
ID_324,framework moving setting file outside gitcode,411
ID_325,framework giving already existing tools precedence,424
ID_328,android permission mapping,260
ID_329,dynamic analysis enhacement,412
ID_330,android static analysis test suite,412
ID_331,data storage outside code repository directory,338
ID_332,filename extension bugs,54
ID_333,dynamic analysis error,418
ID_334,api fuzzer bug replace codecs io,40
ID_335,ios ptrace api recommendation present,465
ID_336,start real device,276
ID_338,pdf generate deal chinese charactors rightly,22
ID_339,api fuzzer enhancements,141
ID_340,android dynamic analysis,412
ID_341,suggestions,82
ID_342,enhancement malware check url domain ip,315
ID_343,upgrade justtrustme,43
ID_344,errno file directory,411
ID_345,jni libs identified correctly,491
ID_346,config remove google code static code analysis,412
ID_347,file read write permission also use integer values,393
ID_348,ios add ios static source code analysis,412
ID_349,think bug,209
ID_350,make proxy run without installing root certificate,418
ID_351,add android static code analysis,412
ID_352,dynamic analysis http request headers logs,244
ID_353,try jadx,132
ID_354,static analyze ipa show file format supported,412
ID_355,dynamic analysis post getenv response code,224
ID_357,feature request ci support added,315
ID_358,play around error popped,448
ID_359,error operation failed could find load main class com googlecode dex jar tools dex jarcmd,325
ID_360,image repo,195
ID_361,ioerror staticanalyzer ios,261
ID_362,error extracting strings apk,471
ID_363,case strong binary failure message clear self exploratory enc,453
ID_364,nice error handler binary unable reverse,27
ID_365,email panels bifurcate invalid file type like image files etc,74
ID_366,report download error,275
ID_367,activity shared permission however framework shows wrong result,367
ID_368,manifest analysis exported activites displayed report,59
ID_369,manifest analysis popup activities wrap text,136
ID_370,feature request identify application calls methods log class,291
ID_371,unicode decoding error framework goes infinite loop,440
ID_372,progress bar render ff ie,55
ID_373,add release tags please,334
ID_374,files readme,448
ID_375,suggestion add one summary box postive findings,439
ID_377,rules ios application source code analysis,412
ID_378,ipa file support dynamic analyzer working,412
ID_381,ui needs adjusted reporting content gets table view,453
ID_384,search pane work,450
ID_385,code cleanup,408
ID_386,download dynamic analyzer vm,412
ID_387,details vm used,215
ID_388,list python modules used,390
ID_389,diffscan fixes error using cache scan,362
ID_390,different scan fingerprints different full scan fingerprints,272
ID_391,improve ci cd example management,368
ID_392,different scans changes produce empty report,272
ID_393,large projects language detection take long time,79
ID_394,improve gitlab action integration,465
ID_395,allow maximum scan time specified,184
ID_396,use cached data different scan,272
ID_397,segfault sha resolution fails,476
ID_398,flag disable progress bars,55
ID_399,magic comment stopped working,47
ID_400,reports add cached data used code changes detected unexpected use force force scan,272
ID_401,data sent cloud info messages always shown,305
ID_402,generate autocompletion script zsh bash fish,63
ID_403,add bearer ignore pull action,84
ID_404,add false positive flag bearer ignore add,217
ID_405,improve security scan output partial language supported deceptive users,376
ID_406,proces hang running diff base branch file change,28
ID_407,handle ignored fingerprints cloud,231
ID_408,flag fail certain severity levels,407
ID_409,failed send data bearer cloud unable calculate metadata exit status,438
ID_410,bug data classification issue,253
ID_411,saas report sends empty file list cli scan run cache,272
ID_412,improve ignore managment,85
ID_413,different scan,362
ID_414,include warnings count html report summary,280
ID_415,use location github download rulesets,465
ID_416,provide warning excluded fingerprint outdated,430
ID_417,easily reverse engineer fingerprint explain mode,482
ID_418,add fingerprints html sarif format,280
ID_419,cached data warning showing security report,272
ID_420,allow failures without exiting error code,451
ID_421,bearer detects cwe even disabling x powered header,167
ID_422,scan profiling,304
ID_423,request list rules c,184
ID_425,use known compatible rules,345
ID_426,warning rules downloaded,256
ID_427,rules scan hang seconds,475
ID_428,activate rules specific version library,181
ID_429,importing devise passwords controller scan detects hard coded password,167
ID_430,separate data classification privacy sast,363
ID_431,bare urls seem classifed internal service default instead external service,123
ID_432,tests fail locally parallel flag default,364
ID_433,support reviewdog diagnostic format security report,280
ID_434,add data types findings saas report,272
ID_435,multiple results returned query error,27
ID_436,add feedback data sent cloud api key provided,186
ID_438,improve pattern joining logic,365
ID_439,docker alpine linux load processing worker,90
ID_440,build github action config guide action yml,84
ID_441,finding fingerprint always calculated correctly,327
ID_442,cli reports javascript express reduce fingerprint wrongly,235
ID_443,migrate recipes classification repository,187
ID_444,provide way convert json output html,280
ID_445,provide flag,280
ID_446,rules always downloaded repo contains non rule supported file types html css txt,181
ID_447,launch sigserv,300
ID_448,privacy report list data types detected,272
ID_449,rule caching broken switching projects different languages,310
ID_450,passing option displays help,227
ID_451,possible glibc issue x linux systems,90
ID_452,docs layout shift bug low results empty searches,28
ID_453,java language support,482
ID_454,new flag env var disable version check,39
ID_455,js express sql injection rule ignores method chaining,301
ID_456,rule flag working js rules,28
ID_457,change failure terminology finding,254
ID_458,add support import js ts,310
ID_459,add support optional datatype,1
ID_460,improve http insecure rules js ruby,28
ID_461,incorrect classification method calls,408
ID_462,doc add diagram bearer workflow displaying,115
ID_463,fix nil pointer exceptions typescript javascript files,5
ID_464,deduplicate detector vulnerabilities line number,471
ID_465,docs bug owasp top header shows rules corresponding owasp id,28
ID_466,rule false positive,131
ID_467,error message loading bearer yml recieved trying load config file,393
ID_468,bearer scan main causes panic,87
ID_469,severity calculation local data type vs global data type,436
ID_470,add rails sql injection rule,365
ID_471,docs bug owasp links working,28
ID_472,combine similar http insecure communication ruby rules,252
ID_473,docs github action example uses hardcoded version,465
ID_474,improve rules,28
ID_475,add support ignoring fingerprints config file,341
ID_476,blank values arguments unexpected behaviour,86
ID_477,docs show dataflow report,407
ID_478,docs adding upgrade instruction,494
ID_479,bug config file longer loaded automatically,499
ID_480,load rules external repository,256
ID_481,skip rules code comments,230
ID_482,display rules processing per language,482
ID_483,report outdated version user,38
ID_484,using passwordless authentication,207
ID_485,rule gets triggered twice password length requirement short cwe,486
ID_486,improve ruby hardcoded secret rule,28
ID_487,docs improve js rule remediations,28
ID_488,handle minified js files better,469
ID_489,improve trigger rule better deal datatype,28
ID_490,change way manage severity,488
ID_491,documentation absence trigger,28
ID_492,bufio scanner token long error running detectors,440
ID_493,ruby lang hardcoded secret hash match hash line matched password line,399
ID_494,ruby lang hardcoded secret matches empty string,399
ID_495,rules progress bar appears twice,55
ID_496,auxiliary rules matching js destructured assignment,278
ID_497,false positives data type detections,12
ID_498,ruby rules run non ruby repository,181
ID_499,add relevant libraries rule metadata,310
ID_500,top owasp rules js,28
ID_501,display cwe summary instead dsr,233
ID_502,slow startup time,188
ID_503,top owasp rules ruby,28
ID_504,summary scan runs rules language specific,181
ID_505,documentation able install curio ubuntu instructions given,444
ID_506,improve external rule error messages,120
ID_507,add ts support,310
ID_508,warning level failures show bottom report,407
ID_509,bad mapping rules data category,272
ID_510,external rule dir flag fails combining syntax path,118
ID_511,remove placeholders dsrs dsr id provided,321
ID_512,custom rules link docs,128
ID_513,docs sitemap including rule page gitleaks,193
ID_514,improvement rules list display terminal,55
ID_515,privacy report top level keys cased correctly,272
ID_516,severity respected json output summary report,280
ID_517,write js rules,128
ID_518,broken link rules documentation pages v,128
ID_519,rule ruby rails default encryption causes rule evaluate correclty cases,181
ID_520,links curio policy reference dead policy report,312
ID_521,symlink causes issues scanning,230
ID_522,send sensitive data analytic environnements,438
ID_523,incorrect calculation rule failure severity,108
ID_524,output summary skipped files,394
ID_525,log slow patterns,64
ID_526,add warning level severity,407
ID_527,add flag show violations given criticality,407
ID_528,review improve results returned gitleaks,153
ID_529,improve excerpt,28
ID_530,cache tracking files states non git directory,447
ID_531,better successful output rules next step cta,203
ID_532,add validator yaml rules,68
ID_533,let user know cli rescan using cached data,366
ID_534,false positive cr secrets leak,223
ID_535,scanning directory git repo throws error,362
ID_536,error scanning empty directory,362
ID_537,hardcode worker config,456
ID_538,hardcode worker config,313
ID_539,performance test new detectors,29
ID_540,streamline exports,188
ID_541,cr browserslistrc false positive,223
ID_542,privacy report,407
ID_543,file symlink causes curio error,230
ID_544,non supported language policy output suggests non working command,159
ID_545,improve dataflow report command helper,394
ID_546,classify google api,141
ID_547,increase detections third party loggers,237
ID_548,enhance policy output variable policies,10
ID_549,provide github action,465
ID_550,add policy secret leaking,21
ID_551,support installation via common linux package managers,484
ID_552,cached detections reused binary killed,83
ID_553,option check policy existence,172
ID_554,encrypted cookies detected,265
ID_555,false positives rails jwt custom detection,12
ID_556,rails cookies session custom detections report unique identifiers policy breaches,457
ID_557,option workers respected,39
ID_558,extend ruby file custom detection cover io open,126
ID_559,wrong sha publishing release homebrew tap,242
ID_560,empty scan results displayed properly,362
ID_561,curio run vanilla cloudlinux centos debian vanilla setup install script missing libs,427
ID_562,execute curio ubuntu without sudo permission,418
ID_563,build docker image,418
ID_564,update goreleaser config announces,321
ID_565,show report application missing encryption,38
ID_566,allow prefix marked encrypted sql detections,83
ID_567,rework config file,39
ID_568,ignored git folders file scanned,126
ID_569,add support homebrew,432
ID_570,unclear timeout file second per bytes description,41
ID_571,ci hangs running unit tests,259
ID_572,tests fail openjdk version newer x,84
ID_573,cwe sans top,414
ID_574,filter configuration silently ignored,144
ID_575,following classes needed analysis missing void,60
ID_576,missing commons codec library,456
ID_577,scanning kotlin work gradle plugin,99
ID_578,http parameter pollution false positive uribuilder httpclient,176
ID_579,improper handling unicode transformations,38
ID_580,sql injection find bugs code,132
ID_581,add support sort v findsecbugs sh,310
ID_582,java deserialization vulnerability discovered,185
ID_583,emptystackexception error,88
ID_584,runtimeexception processing static method,88
ID_585,false positive spring jdbctemplate sql injection,223
ID_586,detect hardcoded password ssh private key,383
ID_587,error missing bug code keysecema findsecbugs,120
ID_588,incompatibility spotbugs,214
ID_589,detect pebble template library,89
ID_590,findsecbugs sh windows line breaks,200
ID_591,unsupported class file major version,147
ID_592,fix code coverage badge ci task,296
ID_593,support com google common escape escaper sanitizer,368
ID_594,integration ant script,155
ID_595,new sink groovy script injection,187
ID_596,,353
ID_597,remove hard coded metadata findbugslauncher buildfakepluginjar,167
ID_598,springentityleakdetector throw npe,268
ID_599,add pathtraversalsinks java nio file files api,186
ID_600,detect authorisation missing requestmapping,433
ID_601,path traversal detection,131
ID_602,findsecbugs sh script errors,200
ID_603,jsp filename line information missing,402
ID_604,working intellij,462
ID_605,detect entity objects returned controllers spring,49
ID_606,version mismatch findsecbugs cli sh script,200
ID_607,weak permissions chmod,238
ID_608,test coverage command injection kotlin,151
ID_609,secrd redos false negative javax validation constraints pattern,223
ID_610,always prompt timeout use version,20
ID_611,apache xml rpc setenabledforextensions true,425
ID_612,ecies integrity false positive,308
ID_613,possible bug deserializationgadgetdetectortest,172
ID_614,detect spelview spel injection,494
ID_615,false positive xss expression language pagecontext request contextpath,176
ID_616,false positive struts form validation issues actionforms proper validate method,165
ID_617,kotlin support hardcode password,380
ID_618,path traversal flase positive static final variable,131
ID_619,failed build find sec bugs,60
ID_620,smtp header injection,391
ID_621,insecure saml configuration spring,107
ID_622,findbugs findsecbugs problem using maven,200
ID_623,error executing finsecbugs sh ubuntu,200
ID_624,error resource found java lang object class java,456
ID_625,nullpointerexception googleapikeydetector visitclasscontext,441
ID_626,fileitem getname new source xss servlet,187
ID_627,new rule detect information exposure printstacktrace,187
ID_628,detect cwe sink javax servlet http httpservletresponse setheader,187
ID_629,false positive xss using owasp taglib,12
ID_630,documentation remove taint variable,116
ID_631,detect hardcode password hash based variable name,380
ID_632,identify xss servletoutputstream print,224
ID_633,internal enable assertions building using find sec bugs,60
ID_634,images gradle configuration documentation page show please update account,444
ID_635,add paths get source path traversal,39
ID_636,permissivecorsdetector throws npe,490
ID_637,ognl injection,223
ID_638,resolve scala play server side request forgery ssrf,405
ID_639,android sql injection,365
ID_640,generalize configuration properties hard coded password,167
ID_641,reduce false positive path traversal,131
ID_642,new rule detect https connections weak ssl tls protocol,187
ID_643,bounds mutables assertion trigged,305
ID_644,getting find bug option,329
ID_645,detect commons lang random utilities,256
ID_646,crlf injection cwe detect request body parameters jax rs applications,187
ID_647,turbine sql injection,130
ID_648,force encoding utf windows generating micro website,324
ID_649,detect hardcoded password unknown api,383
ID_650,freemarker description fix,296
ID_651,malicious deserialization ldap entry,100
ID_652,detect template usage template injection,89
ID_653,reduce number fp related trust boundary violation,436
ID_654,fp sending local broadcasts via localbroadcastmanager,110
ID_655,changes taint analisys engine scala classes,398
ID_656,xss portlet,223
ID_657,set findsecbugs taint customconfigfile gradle,430
ID_658,false positive resourcebundle jsp,352
ID_659,identify weak xml parser properties could lead xxe,449
ID_660,scala xss twirl template,141
ID_661,scala xss play controller,187
ID_662,new rule use setescapemodelstrings wicket project,247
ID_663,bounds mutables static myclass clinit v,61
ID_664,memory leak tests,191
ID_665,test failure invalid vna location,233
ID_666,xml parsing vulnerable xxe xmlreader shortage,118
ID_667,detect deserialization gadgets,189
ID_668,find sec bugs sonar scan scala bytecode,60
ID_669,java util concurrentmodificationexception analysis,131
ID_670,find sec bugs always claims following classes needed analysis missing enums,60
ID_671,custominjection issues,333
ID_672,false positive asn inputstream identify objectinputstream,308
ID_673,new rule xslt processing detection,187
ID_674,findsecbugs plugin crash intellij,447
ID_675,documentation add table contents bug patterns page,444
ID_676,dev internal validate configuration files automatically,29
ID_677,play framework demo,393
ID_678,new rule scala command injection,187
ID_679,new rule unvalidated redirect play framework,187
ID_680,new rule additional coverage predictable random generator scala,187
ID_681,new rule detect weak hostnameverifier,187
ID_682,migrate old xss detector new taintdetector mecanism,187
ID_683,support alternative bytecode setescapexml false jsp weblogic appc,217
ID_684,dev internal dsl intuitive method matching,361
ID_685,new rule missing httponly flag cookie,187
ID_686,xxe coverage,2
ID_687,new rule trust boundary violation,47
ID_688,taint analysis add taint parameters annotate requestparam pathvariable,365
ID_689,fix code bloc description multiples bug patterns jsp include jsp spring eval jsp jstl,296
ID_690,new rule el expression injection,187
ID_691,new rule xss detector using taint detector approach,187
ID_692,hard coded keys false positive loading bytes fileinputstream,308
ID_693,detector external control configuration cwe,167
ID_694,detector crlf injection logs cwe,187
ID_695,detector http response splitting,40
ID_696,description weak digest need update,170
ID_697,new rule jstl escapexml false,21
ID_698,path traversal false positives,131
ID_699,error scanning scala code intellij,120
ID_700,improvements jsp support,1
ID_701,add taint sinks xpath injection,365
ID_702,missing taint sinks ldap injection,365
ID_703,new rule detect dynamic jsp includes,187
ID_704,standalone command line tool scan jars without source,184
ID_705,better support collections,238
ID_706,consider inheritance method summaries,251
ID_707,path traversal xpath injection detectors use taint analysis,365
ID_708,refactor injection detectors,29
ID_709,runtime exec methods taint sinks,469
ID_710,parametric taint state changed used argument unknown method,52
ID_711,add coverage ldap injection,365
ID_712,improve detection weak message digest,120
ID_713,improve detection use old ciphers,320
ID_714,insecure cookie,41
ID_715,bad method summaries derived complex flow,252
ID_716,invalid taint modifications local variables loaded method summary,9
ID_717,taint transfered chained call stringbuilder append,140
ID_718,many iterations bug,494
ID_719,dev internal debug info taint value allow troubleshooting stack,361
ID_720,issue constructor list array parameter command injection detection,356
ID_721,fix des detection,76
ID_722,entitymanager createquery trips secsqlijpa even safe usage,322
ID_723,spring jdbc api,417
ID_724,jdbc api coverage,186
ID_725,remove slash xxe short message,264
ID_726,clarify informational log message custominjectionsource properties,236
ID_727,iv generation verified encryption mode,398
ID_728,false positive static iv using cipher getiv,113
ID_729,issue aes cbc error detection static iv implementation,356
ID_730,detector hard coded spring oauth secret key,167
ID_731,new rule seam logger usage could lead remote code execution,473
ID_732,new rule detect spring eval jsp taglib,187
ID_733,xxe bug patterns update,444
ID_734,add cwe references messages missing,402
ID_735,create tutorial intellij ide,459
ID_736,create japanese page micro website bug patterns,499
ID_737,xxe reader false positive,131
ID_738,netbeans tutorial,367
ID_739,update documentation sonar qube,467
ID_740,fix urls messages xml,227
ID_741,custominjectionsource properties found,1
ID_742,add release notes,465
ID_743,issue mvn findbugs gui,76
ID_744,new android security detectors,29
ID_745,support java upgrade findbugs higher,186
ID_746,add supports new url specification bug reference,21
ID_747,new rule detect ssl disabler java scala implementation,187
ID_748,move command injection main injection detector mecanism,187
ID_749,higher priority injections,91
ID_750,remove esapi references messages,238
ID_751,methodunprofitableexception throwing could suppressed,353
